nom_joueur,club,position,minutes_jouées,match_joués,buts,passes_décisives,distance_parcourue_(km),corner_tiré,hors_jeu,dribbles,total_tir,tir_cadré,tir_non_cadré,tir_bloqué,ballons_récupérés,tacles,tacles_réussi,tacles_loupé,joueur_éliminé,fautes_commmies,fautes_subies,carton_jaune,carton_rouge,%_passes_réussies,passes_tentées,passes_réussies,%_transversales_réussies,transversales_tentées,transversales_réussies,coup_franc_tirés,tirs_sauvés,buts_concédés,penalty_sauvé,cleansheets,but_du_pied_droit,but_du_pied_gauche,but_de_la_tête,but_autres_façons,but_intérieur_surface,but_dehors_surface,penaltys
Salah,Liverpool,Attaquant,1008,13,8,2,112.0,0.0,5.0,49.0,42.0,22.0,11.0,9.0,12.0,0.0,0.0,0.0,0.0,4.0,12.0,0.0,0.0,81.2,426.0,346.0,9.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,7.0,1.0,1.0
Fabinho,Liverpool,Milieu,849,13,1,0,105.5,0.0,0.0,0.0,5.0,1.0,2.0,2.0,74.0,23.0,9.0,14.0,8.0,14.0,11.0,1.0,0.0,90.3,595.0,549.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Robertson,Liverpool,Defenseur,826,10,0,2,97.7,27.0,1.0,9.0,5.0,2.0,2.0,1.0,44.0,4.0,3.0,1.0,14.0,5.0,3.0,1.0,0.0,81.1,628.0,512.0,25.0,63.0,16.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mané,Liverpool,Milieu,822,13,5,1,100.3,0.0,9.0,17.0,21.0,8.0,6.0,7.0,9.0,4.0,1.0,3.0,1.0,16.0,19.0,2.0,0.0,79.0,278.0,219.0,30.0,10.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,5.0,0.0,0.0
Van Dijk,Liverpool,Defenseur,810,9,0,1,82.8,0.0,2.0,0.0,6.0,3.0,1.0,2.0,62.0,3.0,2.0,1.0,29.0,4.0,2.0,1.0,0.0,90.7,667.0,609.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexander-Arnold,Liverpool,Defenseur,794,9,0,4,86.8,36.0,0.0,9.0,12.0,1.0,6.0,5.0,51.0,1.0,0.0,1.0,18.0,5.0,6.0,2.0,0.0,80.0,685.0,556.0,29.0,81.0,24.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Konaté,Liverpool,Defenseur,720,8,2,0,78.5,0.0,0.0,0.0,6.0,2.0,3.0,1.0,53.0,16.0,11.0,5.0,17.0,11.0,3.0,1.0,0.0,89.5,515.0,465.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
Henderson,Liverpool,Milieu,666,12,1,2,85.7,0.0,0.0,2.0,12.0,4.0,4.0,4.0,29.0,3.0,1.0,2.0,1.0,10.0,4.0,0.0,0.0,86.2,602.0,530.0,35.0,17.0,6.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Matip,Liverpool,Defenseur,630,7,0,0,66.2,0.0,0.0,0.0,5.0,2.0,2.0,1.0,34.0,5.0,1.0,4.0,15.0,6.0,1.0,1.0,0.0,94.2,498.0,467.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thiago Alcántara,Liverpool,Milieu,604,10,1,0,77.9,0.0,0.0,0.0,9.0,3.0,6.0,0.0,40.0,16.0,11.0,5.0,5.0,5.0,7.0,1.0,0.0,91.8,553.0,508.0,50.0,2.0,1.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Diogo Jota,Liverpool,Attaquant,578,11,1,1,73.9,0.0,4.0,19.0,16.0,7.0,4.0,5.0,13.0,7.0,2.0,5.0,1.0,11.0,6.0,2.0,0.0,80.5,234.0,189.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Keïta,Liverpool,Milieu,487,10,1,2,61.5,0.0,0.0,6.0,14.0,2.0,8.0,4.0,21.0,8.0,2.0,6.0,7.0,15.0,7.0,0.0,0.0,87.9,354.0,313.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luis Díaz,Liverpool,Attaquant,385,7,2,1,49.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tsimikas,Liverpool,Defenseur,344,5,0,2,42.7,16.0,0.0,4.0,0.0,0.0,0.0,0.0,26.0,2.0,1.0,1.0,10.0,4.0,8.0,0.0,0.0,78.6,201.0,165.0,22.0,40.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Firmino,Liverpool,Milieu,323,7,5,0,43.0,0.0,0.0,0.0,13.0,5.0,2.0,6.0,17.0,2.0,1.0,1.0,1.0,4.0,2.0,0.0,0.0,85.7,176.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oxlade-Chamberlain,Liverpool,Milieu,300,6,0,1,38.6,9.0,0.0,6.0,10.0,3.0,4.0,3.0,17.0,1.0,1.0,0.0,4.0,2.0,2.0,0.0,0.0,85.3,165.0,141.0,20.0,10.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gomez,Liverpool,Defenseur,245,7,0,0,30.4,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,75.4,200.0,173.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Minamino,Liverpool,Attaquant,215,4,0,0,29.7,0.0,0.0,0.0,2.0,0.0,2.0,0.0,6.0,2.0,0.0,2.0,0.0,3.0,3.0,0.0,0.0,93.0,76.0,69.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Milner,Liverpool,Milieu,211,8,0,1,32.0,4.0,0.0,1.0,2.0,1.0,0.0,1.0,5.0,6.0,3.0,3.0,6.0,12.0,4.0,3.0,0.0,57.5,157.0,116.0,22.0,9.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Origi,Liverpool,Attaquant,187,7,1,1,23.8,0.0,0.0,3.0,12.0,2.0,8.0,2.0,5.0,1.0,0.0,1.0,0.0,4.0,6.0,0.0,0.0,74.7,47.0,35.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Jones,Liverpool,Milieu,185,4,0,2,27.1,0.0,1.0,0.0,7.0,4.0,1.0,2.0,6.0,0.0,0.0,0.0,1.0,3.0,5.0,0.0,0.0,86.3,132.0,118.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N. Williams,Liverpool,Defenseur,180,3,0,0,23.5,0.0,0.0,0.0,3.0,1.0,1.0,1.0,10.0,6.0,2.0,4.0,1.0,4.0,4.0,0.0,0.0,73.0,100.0,76.0,42.0,7.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morton,Liverpool,Milieu,180,2,0,0,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,4.0,1.0,2.0,1.0,1.0,0.0,0.0,88.0,76.0,67.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phillips,Liverpool,Defenseur,91,2,0,0,11.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,44.5,37.0,33.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Elliott,Liverpool,Milieu,59,1,0,0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Woltman,Liverpool,Milieu,1,1,0,0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bradley,Liverpool,Milieu,1,1,0,0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pau Torres,Villarreal,Defenseur,1080,12,1,0,124.2,0.0,0.0,0.0,4.0,1.0,3.0,0.0,49.0,7.0,3.0,4.0,62.0,3.0,2.0,1.0,0.0,88.0,506.0,457.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Rulli,Villarreal,Gardien,1080,12,0,0,61.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.2,489.0,332.0,0.0,0.0,0.0,53.0,41.0,16.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Parejo,Villarreal,Milieu,1055,12,1,3,130.9,36.0,0.0,4.0,5.0,1.0,4.0,0.0,48.0,17.0,8.0,9.0,5.0,4.0,17.0,2.0,0.0,84.3,657.0,560.0,56.0,37.0,21.0,52.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Capoue,Villarreal,Milieu,1046,12,2,4,130.9,0.0,0.0,17.0,9.0,3.0,4.0,2.0,62.0,11.0,1.0,10.0,29.0,19.0,17.0,3.0,1.0,87.2,491.0,438.0,50.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0
Albiol,Villarreal,Defenseur,1045,12,0,0,115.7,0.0,0.0,0.0,2.0,0.0,1.0,1.0,73.0,9.0,6.0,3.0,62.0,9.0,6.0,1.0,0.0,85.9,440.0,385.0,0.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ederson,Man. City,Gardien,1003,11,0,0,51.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.9,318.0,277.0,0.0,0.0,0.0,21.0,14.0,14.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mahrez,Man. City,Milieu,986,12,7,2,120.1,30.0,5.0,28.0,37.0,18.0,8.0,11.0,20.0,6.0,1.0,5.0,3.0,6.0,20.0,1.0,0.0,84.9,482.0,414.0,24.0,49.0,12.0,11.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,7.0,0.0,2.0
Danjuma,Villarreal,Milieu,906,11,6,2,107.8,3.0,8.0,31.0,25.0,14.0,5.0,6.0,3.0,1.0,0.0,1.0,5.0,6.0,7.0,0.0,0.0,78.6,165.0,128.0,38.0,13.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,6.0,0.0,1.0
Vertonghen,Benfica,Defenseur,900,10,0,1,97.9,0.0,0.0,3.0,7.0,2.0,3.0,2.0,51.0,9.0,6.0,3.0,51.0,5.0,4.0,0.0,0.0,83.3,424.0,360.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vlachodimos,Benfica,Gardien,900,10,0,0,55.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.8,345.0,247.0,0.0,0.0,0.0,52.0,38.0,17.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oblak,Atlético,Gardien,900,10,0,0,52.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.7,283.0,158.0,0.0,0.0,0.0,31.0,26.0,10.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Foyth,Villarreal,Defenseur,891,10,0,0,98.7,0.0,0.0,0.0,4.0,0.0,2.0,2.0,55.0,20.0,10.0,10.0,30.0,9.0,7.0,1.0,0.0,82.1,347.0,290.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bernardo Silva,Man. City,Milieu,878,11,3,3,120.3,2.0,3.0,18.0,7.0,4.0,2.0,1.0,25.0,9.0,4.0,5.0,5.0,10.0,6.0,0.0,0.0,91.6,462.0,427.0,23.0,17.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0
Lewandowski,Bayern,Attaquant,876,10,13,3,99.7,0.0,7.0,1.0,31.0,19.0,8.0,4.0,7.0,4.0,0.0,4.0,0.0,11.0,13.0,1.0,0.0,79.1,206.0,163.0,10.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,3.0,1.0,1.0,13.0,0.0,3.0
Grimaldo,Benfica,Defenseur,863,10,0,3,107.7,11.0,1.0,10.0,3.0,1.0,1.0,1.0,34.0,15.0,6.0,9.0,24.0,5.0,9.0,2.0,0.0,81.1,319.0,257.0,41.0,34.0,14.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rodri,Man. City,Milieu,842,10,0,0,114.6,0.0,0.0,0.0,6.0,0.0,1.0,5.0,52.0,14.0,10.0,4.0,5.0,19.0,4.0,2.0,0.0,94.2,806.0,760.0,0.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
João Cancelo,Man. City,Defenseur,840,9,2,3,100.3,0.0,2.0,26.0,11.0,4.0,3.0,4.0,56.0,9.0,6.0,3.0,13.0,11.0,4.0,3.0,0.0,88.0,668.0,586.0,20.0,29.0,6.0,11.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0
Rüdiger,Chelsea,Defenseur,840,9,1,0,88.4,0.0,0.0,0.0,11.0,1.0,8.0,2.0,46.0,9.0,5.0,4.0,16.0,11.0,3.0,2.0,0.0,90.3,750.0,681.0,0.0,4.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Mendy,Chelsea,Gardien,840,9,0,0,57.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,208.0,173.0,0.0,0.0,0.0,7.0,9.0,7.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reinildo,LOSC,Defenseur,816,10,0,0,88.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.1,364.0,302.0,30.0,10.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Neuer,Bayern,Gardien,810,9,0,1,51.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.9,352.0,318.0,0.0,0.0,0.0,8.0,14.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Weigl,Benfica,Milieu,810,9,0,0,112.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,35.0,23.0,12.0,11.0,12.0,10.0,5.0,2.0,0.0,89.1,351.0,316.0,0.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Otamendi,Benfica,Defenseur,810,9,0,0,91.2,0.0,0.0,0.0,4.0,1.0,3.0,0.0,63.0,28.0,17.0,11.0,48.0,17.0,11.0,2.0,0.0,84.3,380.0,328.0,0.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sané,Bayern,Milieu,798,10,6,6,94.0,3.0,3.0,32.0,33.0,13.0,12.0,8.0,23.0,1.0,0.0,1.0,0.0,2.0,5.0,0.0,0.0,86.8,398.0,346.0,26.0,19.0,5.0,8.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,3.0,3.0,0.0
Laporte,Man. City,Defenseur,794,9,0,0,90.9,0.0,0.0,0.0,5.0,1.0,4.0,0.0,51.0,5.0,1.0,4.0,17.0,4.0,2.0,2.0,0.0,94.7,707.0,672.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Müller,Bayern,Attaquant,778,10,4,3,98.5,10.0,8.0,2.0,14.0,8.0,3.0,3.0,18.0,8.0,3.0,5.0,2.0,11.0,3.0,0.0,0.0,78.9,366.0,283.0,28.0,25.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,3.0,1.0,0.0
Pavard,Bayern,Defenseur,764,10,0,1,96.7,0.0,2.0,0.0,10.0,2.0,7.0,1.0,55.0,12.0,7.0,5.0,17.0,9.0,4.0,0.0,0.0,90.2,676.0,613.0,33.0,12.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
